dataset,samples,features,classes,graph_edges,proposed_iterations,final_objective
JAFFE,213,676,10,1430,12,0.18362018819361525
MNIST,3000,784,10,22968,3,1.4034662066864563
TOX_171,171,5748,4,1226,12,0.1391841652552358
Yale,165,1024,15,1206,10,1.0167466006972479
lung,203,3312,5,1640,12,0.12518257212485262
